Level,Category_Name,Forecast_Month,Forecast_Demand,Model
Category,Electricals,2017-03-01,64631.0,Holt-Winters
Category,Electricals,2017-04-01,46986.0,Holt-Winters
Category,Electricals,2017-05-01,39566.0,Holt-Winters
Category,Electricals,2017-06-01,52520.0,Holt-Winters
Category,Electricals,2017-07-01,75940.0,Holt-Winters
Category,Electricals,2017-08-01,44551.0,Holt-Winters
Category,Electricals,2017-09-01,41337.0,Holt-Winters
Category,Electricals,2017-10-01,34777.0,Holt-Winters
Category,Electricals,2017-11-01,41381.0,Holt-Winters
Category,Electricals,2017-12-01,86534.0,Holt-Winters
Category,Electronics,2017-01-01,1390.0,Holt-Winters
Category,Electronics,2017-02-01,2291.0,Holt-Winters
Category,Electronics,2017-03-01,3712.0,Holt-Winters
Category,Electronics,2017-04-01,1181.0,Holt-Winters
Category,Electronics,2017-05-01,2814.0,Holt-Winters
Category,Electronics,2017-06-01,3146.0,Holt-Winters
Category,Electronics,2017-07-01,1713.0,Holt-Winters
Category,Electronics,2017-08-01,1714.0,Holt-Winters
Category,Electronics,2017-09-01,2091.0,Holt-Winters
Category,Electronics,2017-10-01,2600.0,Holt-Winters
Category,Electronics,2017-11-01,2875.0,Holt-Winters
Category,Electronics,2017-12-01,2885.0,Holt-Winters
Category,Fitness,2017-02-01,0.0,Holt-Winters
Category,Fitness,2017-03-01,19225.0,Holt-Winters
Category,Fitness,2017-04-01,26937.0,Holt-Winters
Category,Fitness,2017-05-01,0.0,Holt-Winters
Category,Fitness,2017-06-01,35276.0,Holt-Winters
Category,Fitness,2017-07-01,89.0,Holt-Winters
Category,Fitness,2017-08-01,18044.0,Holt-Winters
Category,Fitness,2017-09-01,13678.0,Holt-Winters
Category,Fitness,2017-10-01,10474.0,Holt-Winters
Category,Fitness,2017-11-01,37235.0,Holt-Winters
Category,Fitness,2017-12-01,13040.0,Holt-Winters
Category,Fitness,2018-01-01,14379.0,Holt-Winters
Category,Food,2017-02-01,32005.0,Holt-Winters
Category,Food,2017-03-01,34215.0,Holt-Winters
Category,Food,2017-04-01,26711.0,Holt-Winters
Category,Food,2017-05-01,23526.0,Holt-Winters
Category,Food,2017-06-01,27028.0,Holt-Winters
Category,Food,2017-07-01,27205.0,Holt-Winters
Category,Food,2017-08-01,22328.0,Holt-Winters
Category,Food,2017-09-01,21773.0,Holt-Winters
Category,Food,2017-10-01,25041.0,Holt-Winters
Category,Food,2017-11-01,22043.0,Holt-Winters
Category,Food,2017-12-01,22384.0,Holt-Winters
Category,Food,2018-01-01,18540.0,Holt-Winters
Category,Footwear,2017-01-01,149.0,Holt-Winters
Category,Footwear,2017-02-01,277.0,Holt-Winters
Category,Footwear,2017-03-01,258.0,Holt-Winters
Category,Footwear,2017-04-01,303.0,Holt-Winters
Category,Footwear,2017-05-01,437.0,Holt-Winters
Category,Footwear,2017-06-01,457.0,Holt-Winters
Category,Footwear,2017-07-01,604.0,Holt-Winters
Category,Footwear,2017-08-01,364.0,Holt-Winters
Category,Footwear,2017-09-01,237.0,Holt-Winters
Category,Footwear,2017-10-01,271.0,Holt-Winters
Category,Footwear,2017-11-01,419.0,Holt-Winters
Category,Footwear,2017-12-01,193.0,Holt-Winters
Category,Furniture,2017-02-01,1836742.0,Holt-Winters
Category,Furniture,2017-03-01,2511156.0,Holt-Winters
Category,Furniture,2017-04-01,2098931.0,Holt-Winters
Category,Furniture,2017-05-01,1221328.0,Holt-Winters
Category,Furniture,2017-06-01,1232959.0,Holt-Winters
Category,Furniture,2017-07-01,605456.0,Holt-Winters
Category,Furniture,2017-08-01,1411456.0,Holt-Winters
Category,Furniture,2017-09-01,962055.0,Holt-Winters
Category,Furniture,2017-10-01,1472591.0,Holt-Winters
Category,Furniture,2017-11-01,1054813.0,Holt-Winters
Category,Furniture,2017-12-01,791474.0,Holt-Winters
Category,Furniture,2018-01-01,1081491.0,Holt-Winters
Category,Gardening,2017-01-01,601926.0,Holt-Winters
Category,Gardening,2017-02-01,702017.0,Holt-Winters
Category,Gardening,2017-03-01,763912.0,Holt-Winters
Category,Gardening,2017-04-01,600621.0,Holt-Winters
Category,Gardening,2017-05-01,608189.0,Holt-Winters
Category,Gardening,2017-06-01,664279.0,Holt-Winters
Category,Gardening,2017-07-01,761639.0,Holt-Winters
Category,Gardening,2017-08-01,931409.0,Holt-Winters
Category,Gardening,2017-09-01,678880.0,Holt-Winters
Category,Gardening,2017-10-01,723321.0,Holt-Winters
Category,Gardening,2017-11-01,637339.0,Holt-Winters
Category,Gardening,2017-12-01,724105.0,Holt-Winters
Category,General_Merchandise,2017-01-01,790455.0,Holt-Winters
Category,General_Merchandise,2017-02-01,830901.0,Holt-Winters
Category,General_Merchandise,2017-03-01,863223.0,Holt-Winters
Category,General_Merchandise,2017-04-01,853858.0,Holt-Winters
Category,General_Merchandise,2017-05-01,799494.0,Holt-Winters
Category,General_Merchandise,2017-06-01,890039.0,Holt-Winters
Category,General_Merchandise,2017-07-01,923261.0,Holt-Winters
Category,General_Merchandise,2017-08-01,790280.0,Holt-Winters
Category,General_Merchandise,2017-09-01,880271.0,Holt-Winters
Category,General_Merchandise,2017-10-01,899483.0,Holt-Winters
Category,General_Merchandise,2017-11-01,890192.0,Holt-Winters
Category,General_Merchandise,2017-12-01,928632.0,Holt-Winters
Category,Hardware,2017-01-01,6460.0,Holt-Winters
Category,Hardware,2017-02-01,1674.0,Holt-Winters
Category,Hardware,2017-03-01,5511.0,Holt-Winters
Category,Hardware,2017-04-01,3515.0,Holt-Winters
Category,Hardware,2017-05-01,4833.0,Holt-Winters
Category,Hardware,2017-06-01,3658.0,Holt-Winters
Category,Hardware,2017-07-01,5881.0,Holt-Winters
Category,Hardware,2017-08-01,6451.0,Holt-Winters
Category,Hardware,2017-09-01,5717.0,Holt-Winters
Category,Hardware,2017-10-01,3938.0,Holt-Winters
Category,Hardware,2017-11-01,4892.0,Holt-Winters
Category,Hardware,2017-12-01,1896.0,Holt-Winters
Category,Healthcare,2017-02-01,0.0,Holt-Winters
Category,Healthcare,2017-03-01,0.0,Holt-Winters
Category,Healthcare,2017-04-01,301.0,Holt-Winters
Category,Healthcare,2017-05-01,332.0,Holt-Winters
Category,Healthcare,2017-06-01,133.0,Holt-Winters
Category,Healthcare,2017-07-01,94.0,Holt-Winters
Category,Healthcare,2017-08-01,0.0,Holt-Winters
Category,Healthcare,2017-09-01,373.0,Holt-Winters
Category,Healthcare,2017-10-01,1294.0,Holt-Winters
Category,Healthcare,2017-11-01,1277.0,Holt-Winters
Category,Healthcare,2017-12-01,809.0,Holt-Winters
Category,Healthcare,2018-01-01,463.0,Holt-Winters
Category,Home_Appliances,2017-02-01,4148110.0,Holt-Winters
Category,Home_Appliances,2017-03-01,3749313.0,Holt-Winters
Category,Home_Appliances,2017-04-01,3415177.0,Holt-Winters
Category,Home_Appliances,2017-05-01,3641567.0,Holt-Winters
Category,Home_Appliances,2017-06-01,4196265.0,Holt-Winters
Category,Home_Appliances,2017-07-01,3384628.0,Holt-Winters
Category,Home_Appliances,2017-08-01,2977971.0,Holt-Winters
Category,Home_Appliances,2017-09-01,2987376.0,Holt-Winters
Category,Home_Appliances,2017-10-01,3468270.0,Holt-Winters
Category,Home_Appliances,2017-11-01,4178733.0,Holt-Winters
Category,Home_Appliances,2017-12-01,2963509.0,Holt-Winters
Category,Home_Appliances,2018-01-01,2595453.0,Holt-Winters
Category,Kitchenware,2017-01-01,406.0,Holt-Winters
Category,Kitchenware,2017-02-01,262.0,Holt-Winters
Category,Kitchenware,2017-03-01,320.0,Holt-Winters
Category,Kitchenware,2017-04-01,378.0,Holt-Winters
Category,Kitchenware,2017-05-01,298.0,Holt-Winters
Category,Kitchenware,2017-06-01,232.0,Holt-Winters
Category,Kitchenware,2017-07-01,285.0,Holt-Winters
Category,Kitchenware,2017-08-01,331.0,Holt-Winters
Category,Kitchenware,2017-09-01,176.0,Holt-Winters
Category,Kitchenware,2017-10-01,287.0,Holt-Winters
Category,Kitchenware,2017-11-01,391.0,Holt-Winters
Category,Kitchenware,2017-12-01,293.0,Holt-Winters
Category,Lighting,2017-01-01,135.0,Holt-Winters
Category,Lighting,2017-02-01,158.0,Holt-Winters
Category,Lighting,2017-03-01,138.0,Holt-Winters
Category,Lighting,2017-04-01,133.0,Holt-Winters
Category,Lighting,2017-05-01,138.0,Holt-Winters
Category,Lighting,2017-06-01,150.0,Holt-Winters
Category,Lighting,2017-07-01,258.0,Holt-Winters
Category,Lighting,2017-08-01,112.0,Holt-Winters
Category,Lighting,2017-09-01,174.0,Holt-Winters
