date,forecast_units_sold,lower_ci,upper_ci,product_category
2018-09-09,151.30116992940054,72.96905881957355,229.63328103922754,health_beauty
2018-09-16,160.28635319240257,50.80011028764956,269.7725960971556,health_beauty
2018-09-23,158.9552665346659,26.30708261944892,291.60345044988287,health_beauty
2018-09-30,186.2622087064965,34.61829501289003,337.90612240010296,health_beauty
2018-10-07,168.9342375647385,0.9524559351593211,336.9160191943177,health_beauty
2018-10-14,165.92571141960156,-16.520670742341736,348.37209358154485,health_beauty
2018-10-21,163.91828545698718,-31.590449517475975,359.42702043145033,health_beauty
2018-10-28,185.91181771337455,-21.566035264748052,393.38967069149714,health_beauty
2018-09-09,22.693146058402043,-39.80387770609067,85.19016982289475,toys
2018-09-16,33.38240972374149,-72.03200945298376,138.79682890046672,toys
2018-09-23,35.531341905917806,-105.13146115462601,176.1941449664616,toys
2018-09-30,50.954726983415824,-119.43977912721708,221.3492330940487,toys
2018-10-07,51.91236509646042,-144.29836628482929,248.12309647775015,toys
2018-10-14,53.896770860668,-165.29080524856454,273.08434696990054,toys
2018-10-21,51.89103031869911,-188.14508478071926,291.92714541811745,toys
2018-10-28,57.88891711337532,-201.3453161367164,317.12315036346706,toys
2018-09-09,145.7039764447176,46.859267128638976,244.54868576079622,furniture_decor
2018-09-16,144.2321167606442,3.5509606161502916,284.9132729051381,furniture_decor
2018-09-23,156.93192627962475,-16.378288845976556,330.24214140522605,furniture_decor
2018-09-30,153.34318781128977,-47.85623059666426,354.5426062192438,furniture_decor
2018-10-07,172.8133469339317,-53.24448469760307,398.8711785654665,furniture_decor
2018-10-14,149.2282818856646,-99.52306115643736,397.9796249277665,furniture_decor
2018-10-21,158.5892272869728,-111.19911124336465,428.37756581731026,furniture_decor
2018-10-28,167.8973901565187,-121.59906998320648,457.39385029624384,furniture_decor
2018-09-09,87.01098402629869,40.73045817589475,133.2915098767026,watches_gifts
2018-09-16,86.76373208648528,28.928175361001138,144.59928881196942,watches_gifts
2018-09-23,80.34436354237815,13.753411041545803,146.9353160432105,watches_gifts
2018-09-30,92.8120086087278,18.597680719474894,167.0263364979807,watches_gifts
2018-10-07,93.81289290313934,12.702646902365103,174.92313890391358,watches_gifts
2018-10-14,94.81302095737414,7.350778657184392,182.2752632575639,watches_gifts
2018-10-21,90.81303950084431,-2.5698675457625626,184.19594654745117,watches_gifts
2018-10-28,95.81304218611503,-3.136863480544079,194.76294785277412,watches_gifts
2018-09-02,3.5195309254466434,-1.9962879616499656,9.035349812543252,fashion_shoes
2018-09-09,5.3532556702411425,-0.22855298877079022,10.935064329253075,fashion_shoes
2018-09-16,7.4894557967205095,1.5167995663336074,13.462112027107413,fashion_shoes
2018-09-23,3.3862100661803876,-2.84586029437005,9.618280426730825,fashion_shoes
2018-09-30,4.480479483817927,-2.0271157889120754,10.98807475654793,fashion_shoes
2018-10-07,4.479564178186925,-2.285303031066129,11.244431387439977,fashion_shoes
2018-10-14,4.479813494537936,-2.5347380144968934,11.494365003572765,fashion_shoes
2018-10-21,6.479745584278481,-0.7754167459643115,13.734907914521273,fashion_shoes
2018-09-09,149.94986066400168,77.85247200990997,222.04724931809338,sports_leisure
2018-09-16,164.1713142433525,65.85216310588976,262.49046538081524,sports_leisure
2018-09-23,183.4734451878797,65.73530138563798,301.2115889901214,sports_leisure
2018-09-30,157.37818788236558,23.391661896503678,291.36471386822745,sports_leisure
2018-10-07,186.40133693988597,38.0733379116634,334.72933596810856,sports_leisure
2018-10-14,176.41048337097888,15.060750644025745,337.760216097932,sports_leisure
2018-10-21,146.4140972201243,-26.963697445355166,319.7918918856037,sports_leisure
2018-10-28,169.41552508914918,-15.201507965849089,354.03255814414746,sports_leisure
2018-09-09,114.1539466040035,62.95167891584414,165.35621429216286,housewares
2018-09-16,144.3715453231089,71.74104714360318,217.00204350261464,housewares
2018-09-23,150.18339255218228,61.11063403426937,239.2561510700952,housewares
2018-09-30,113.37638283329196,10.451233609821386,216.30153205676254,housewares
2018-10-07,162.37649497198962,47.25326463030771,277.49972531367155,housewares
2018-10-14,125.37651339462926,-0.7708341003100401,251.52386088956854,housewares
2018-10-21,146.3765164211817,10.093897490604036,282.65913535175935,housewares
2018-10-28,134.37651691839707,-11.33810758387898,280.0911414206731,housewares
2018-09-09,77.403664030917,29.548120322137954,125.25920773969605,telephony
2018-09-16,80.4055360125649,24.584599402751394,136.2264726223784,telephony
2018-09-23,99.14972740282288,34.923328580563094,163.37612622508266,telephony
2018-09-30,79.28735587518923,7.846215647418177,150.7284961029603,telephony
2018-10-07,86.28383233794985,8.262019078925931,164.30564559697376,telephony
2018-10-14,78.2843904837196,-5.800181801820514,162.36896276925972,telephony
2018-10-21,80.28430207066218,-9.45502490073244,170.0236290420568,telephony
2018-10-28,89.28431607572887,-5.77387334143873,184.34250549289646,telephony
2018-09-09,81.15013167489735,36.78481145313642,125.51545189665828,auto
2018-09-16,77.40829234416108,22.911770382512735,131.90481430580942,auto
2018-09-23,85.62556308594782,21.216144235410553,150.03498193648508,auto
2018-09-30,80.51901602717784,7.795626433648351,153.24240562070733,auto
2018-10-07,87.52526892993414,7.294973696383693,167.7555641634846,auto
2018-10-14,86.52394909409702,-0.5587645519179887,173.60666274011203,auto
2018-10-21,82.5242276793725,-10.911625293740542,175.96008065248554,auto
2018-10-28,91.52416887678999,-7.859139841066252,190.90747759464622,auto
2018-09-09,114.64038951762224,12.796517211600602,216.48426182364386,computers_accessories
2018-09-16,119.16942751936824,-25.304311329612972,263.64316636834945,computers_accessories
2018-09-23,120.6307190385939,-56.50347055920264,297.76490863639043,computers_accessories
