date,forecast_units_sold,lower_ci,upper_ci,is_festival,is_holiday
2018-08-30,2.399027034224235,-8.857367626692726,13.655421695141195,0,0
2018-08-31,2.398485857590088,-8.858706850918061,13.655678566098238,0,0
2018-09-01,2.3979448030354944,-8.860045536521469,13.655935142592458,0,0
2018-09-02,2.3974038705329157,-8.861383683781389,13.65619142484722,0,0
2018-09-03,2.396863060054819,-8.862721292976074,13.656447413085713,0,0
2018-09-04,2.3963223715736777,-8.864058364383572,13.656703107530928,0,0
2018-09-05,2.3957818050619717,-8.86539489828174,13.656958508405685,0,0
2018-09-06,2.3952413604921867,-8.86673089494824,13.657213615932616,0,0
2018-09-07,2.394701037836815,-8.868066354660531,13.657468430334163,0,0
2018-09-08,2.394160837068355,-8.869401277695884,13.657722951832595,0,0
2018-09-09,2.3936207581593107,-8.870735664331367,13.65797718064999,0,0
2018-09-10,2.3930808010821933,-8.87206951484386,13.658231117008247,0,0
2018-09-11,2.39254096580952,-8.873402829510045,13.658484761129085,0,0
2018-09-12,2.3920012523138134,-8.874735608606407,13.658738113234033,0,0
2018-09-13,2.3914616605676033,-8.876067852409237,13.658991173544445,0,0
2018-09-14,2.390922190543425,-8.877399561194634,13.659243942281483,0,0
2018-09-15,2.3903828422138202,-8.878730735238502,13.65949641966614,0,0
2018-09-16,2.389843615551337,-8.880061374816544,13.659748605919217,0,0
2018-09-17,2.3893045105285293,-8.881391480204279,13.660000501261337,0,0
2018-09-18,2.3887655271179575,-8.882721051677027,13.660252105912942,0,0
2018-09-19,2.3882266652921884,-8.884050089509916,13.660503420094294,0,0
2018-09-20,2.387687925023794,-8.885378593977878,13.660754444025466,0,0
2018-09-21,2.387149306285354,-8.886706565355656,13.661005177926363,0,0
2018-09-22,2.386610809049453,-8.888034003917793,13.661255622016698,0,0
2018-09-23,2.3860724332886822,-8.88936090993865,13.661505776516014,0,0
2018-09-24,2.385534178975639,-8.890687283692385,13.661755641643664,0,0
2018-09-25,2.3849960460829274,-8.892013125452968,13.662005217618821,0,0
2018-09-26,2.3844580345831567,-8.893338435494172,13.662254504660485,0,0
2018-09-27,2.3839201444489433,-8.89466321408959,13.662503502987477,0,0
2018-09-28,2.3833823756529093,-8.89598746151261,13.662752212818427,0,0
2018-09-29,2.382844728167683,-8.897311178036434,13.6630006343718,0,0
2018-09-30,2.3823072019658986,-8.898634363934072,13.66324876786587,0,0
2018-10-01,2.381769797020197,-8.899957019478341,13.663496613518737,0,0
2018-10-02,2.381232513303225,-8.901279144941872,13.663744171548322,0,0
2018-10-03,2.3806953507876356,-8.902600740597098,13.663991442172371,0,0
2018-10-04,2.380158309446088,-8.903921806716266,13.664238425608442,0,0
2018-10-05,2.379621389251248,-8.905242343571427,13.664485122073923,0,0
2018-10-06,2.379084590175786,-8.906562351434454,13.664731531786027,0,0
2018-10-07,2.378547912192381,-8.907881830577013,13.664977654961776,0,0
2018-10-08,2.3780113552737157,-8.90920078127059,13.66522349181802,0,0
2018-10-09,2.3774749193924807,-8.910519203786485,13.665469042571445,0,0
2018-10-10,2.376938604521372,-8.911837098395791,13.665714307438536,0,0
2018-10-11,2.3764024106330925,-8.913154465369436,13.665959286635621,0,0
2018-10-12,2.37586633770035,-8.914471304978138,13.666203980378837,0,0
2018-10-13,2.3753303856958596,-8.915787617492436,13.666448388884154,0,0
2018-10-14,2.3747945545923415,-8.917103403182677,13.66669251236736,0,0
2018-10-15,2.374258844362523,-8.91841866231902,13.666936351044068,0,0
2018-10-16,2.3737232549791374,-8.919733395171438,13.667179905129714,0,0
2018-10-17,2.3731877864149236,-8.921047602009711,13.66742317483956,0,0
2018-10-18,2.372652438642627,-8.922361283103431,13.667666160388684,0,0
2018-10-19,2.3721172116349996,-8.923674438722006,13.667908861992004,0,0
2018-10-20,2.3715821053647987,-8.924987069134652,13.668151279864247,0,0
2018-10-21,2.371047119804788,-8.9262991746104,13.668393414219977,0,0
2018-10-22,2.370512254927738,-8.927610755418094,13.668635265273572,0,0
2018-10-23,2.3699775107064247,-8.92892181182639,13.66887683323924,0,0
2018-10-24,2.3694428871136304,-8.930232344103757,13.669118118331017,0,0
2018-10-25,2.368908384122143,-8.931542352518472,13.669359120762758,0,0
2018-10-26,2.368374001704758,-8.932851837338633,13.66959984074815,0,0
2018-10-27,2.3678397398342748,-8.934160798832153,13.6698402785007,0,0
2018-10-28,2.367305598483501,-8.935469237266743,13.670080434233745,0,0
2018-10-29,2.36677157762525,-8.936777152909947,13.670320308160445,0,0
2018-10-30,2.36623767723234,-8.938084546029112,13.67055990049379,0,0
2018-10-31,2.3657038972775966,-8.939391416891402,13.670799211446594,0,0
2018-11-01,2.3651702377338513,-8.940697765763794,13.671038241231496,0,0
2018-11-02,2.3646366985739413,-8.94200359291308,13.671276990060962,0,0
2018-11-03,2.36410327977071,-8.94330889860587,13.67151545814729,0,0
2018-11-04,2.363569981297008,-8.944613683108585,13.671753645702601,0,0
2018-11-05,2.3630368031256905,-8.945917946687462,13.671991552938845,0,0
2018-11-06,2.3625037452296196,-8.947221689608554,13.672229180067795,0,0
2018-11-07,2.3619708075816632,-8.94852491213773,13.672466527301056,0,0
2018-11-08,2.361437990154696,-8.94982761454067,13.672703594850063,0,0
2018-11-09,2.360905292921598,-8.951129797082878,13.672940382926075,0,0
2018-11-10,2.3603727158552554,-8.952431460029663,13.673176891740175,0,0
2018-11-11,2.3598402589285614,-8.953732603646163,13.673413121503287,0,0
2018-11-12,2.3593079221144144,-8.95503322819732,13.67364907242615,0,0
2018-11-13,2.3587757053857192,-8.956333333947905,13.673884744719343,0,0
2018-11-14,2.358243608715387,-8.957632921162492,13.674120138593267,0,0
2018-11-15,2.357711632076334,-8.95893199010548,13.674355254258149,0,0
2018-11-16,2.3571797754414843,-8.960230541041087,13.674590091924054,0,0
2018-11-17,2.3566480387837667,-8.961528574233338,13.674824651800872,0,0
2018-11-18,2.3561164220761164,-8.962826089946091,13.675058934098324,0,0
2018-11-19,2.3555849252914753,-8.964123088443008,13.67529293902596,0,0
2018-11-20,2.3550535484027906,-8.965419569987574,13.675526666793157,0,0
2018-11-21,2.354522291383016,-8.966715534843093,13.675760117609126,0,0
2018-11-22,2.3539911542051115,-8.968010983272684,13.675993291682907,0,0
2018-11-23,2.3534601368420427,-8.969305915539284,13.676226189223371,0,0
2018-11-24,2.3529292392667815,-8.970600331905654,13.676458810439218,0,0
2018-11-25,2.3523984614523066,-8.971894232634366,13.676691155538979,0,0
2018-11-26,2.3518678033716016,-8.973187617987818,13.67692322473102,0,0
