Product_Name,Category_Name,Forecast_Month,Forecast_Demand,Model
Automotive_Item_007,Automotive,2017-09-01,478.0,Prophet_Product
Automotive_Item_007,Automotive,2017-10-01,543.0,Prophet_Product
Automotive_Item_007,Automotive,2017-11-01,503.0,Prophet_Product
Automotive_Item_007,Automotive,2017-12-01,208.0,Prophet_Product
Automotive_Item_008,Automotive,2017-01-01,144.0,Prophet_Product
Automotive_Item_008,Automotive,2017-02-01,284.0,Prophet_Product
Automotive_Item_008,Automotive,2017-03-01,95.0,Prophet_Product
Automotive_Item_008,Automotive,2017-04-01,206.0,Prophet_Product
Automotive_Item_008,Automotive,2017-05-01,180.0,Prophet_Product
Automotive_Item_008,Automotive,2017-06-01,201.0,Prophet_Product
Automotive_Item_008,Automotive,2017-07-01,235.0,Prophet_Product
Automotive_Item_008,Automotive,2017-08-01,165.0,Prophet_Product
Automotive_Item_008,Automotive,2017-09-01,110.0,Prophet_Product
Automotive_Item_008,Automotive,2017-10-01,115.0,Prophet_Product
Automotive_Item_008,Automotive,2017-11-01,141.0,Prophet_Product
Automotive_Item_008,Automotive,2017-12-01,149.0,Prophet_Product
Automotive_Item_009,Automotive,2017-01-01,40.0,Prophet_Product
Automotive_Item_009,Automotive,2017-02-01,23.0,Prophet_Product
Automotive_Item_009,Automotive,2017-03-01,51.0,Prophet_Product
Automotive_Item_009,Automotive,2017-04-01,68.0,Prophet_Product
Automotive_Item_009,Automotive,2017-05-01,61.0,Prophet_Product
Automotive_Item_009,Automotive,2017-06-01,21.0,Prophet_Product
Automotive_Item_009,Automotive,2017-07-01,50.0,Prophet_Product
Automotive_Item_009,Automotive,2017-08-01,49.0,Prophet_Product
Automotive_Item_009,Automotive,2017-09-01,30.0,Prophet_Product
Automotive_Item_009,Automotive,2017-10-01,35.0,Prophet_Product
Automotive_Item_009,Automotive,2017-11-01,47.0,Prophet_Product
Automotive_Item_009,Automotive,2017-12-01,27.0,Prophet_Product
Automotive_Item_010,Automotive,2017-01-01,20.0,Prophet_Product
Automotive_Item_010,Automotive,2017-02-01,15.0,Prophet_Product
Automotive_Item_010,Automotive,2017-03-01,10.0,Prophet_Product
Automotive_Item_010,Automotive,2017-04-01,22.0,Prophet_Product
Automotive_Item_010,Automotive,2017-05-01,72.0,Prophet_Product
Automotive_Item_010,Automotive,2017-06-01,81.0,Prophet_Product
Automotive_Item_010,Automotive,2017-07-01,12.0,Prophet_Product
Automotive_Item_010,Automotive,2017-08-01,30.0,Prophet_Product
Automotive_Item_010,Automotive,2017-09-01,21.0,Prophet_Product
Automotive_Item_010,Automotive,2017-10-01,34.0,Prophet_Product
Automotive_Item_010,Automotive,2017-11-01,14.0,Prophet_Product
Automotive_Item_010,Automotive,2017-12-01,9.0,Prophet_Product
Automotive_Item_011,Automotive,2017-01-01,11.0,Prophet_Product
Automotive_Item_011,Automotive,2017-02-01,0.0,Prophet_Product
Automotive_Item_011,Automotive,2017-03-01,13.0,Prophet_Product
Automotive_Item_011,Automotive,2017-04-01,7.0,Prophet_Product
Automotive_Item_011,Automotive,2017-05-01,10.0,Prophet_Product
Automotive_Item_011,Automotive,2017-06-01,6.0,Prophet_Product
Automotive_Item_011,Automotive,2017-07-01,15.0,Prophet_Product
Automotive_Item_011,Automotive,2017-08-01,12.0,Prophet_Product
Automotive_Item_011,Automotive,2017-09-01,7.0,Prophet_Product
Automotive_Item_011,Automotive,2017-10-01,13.0,Prophet_Product
Automotive_Item_011,Automotive,2017-11-01,17.0,Prophet_Product
Automotive_Item_011,Automotive,2017-12-01,13.0,Prophet_Product
Automotive_Item_012,Automotive,2017-01-01,0.0,Prophet_Product
Automotive_Item_012,Automotive,2017-02-01,36.0,Prophet_Product
Automotive_Item_012,Automotive,2017-03-01,11.0,Prophet_Product
Automotive_Item_012,Automotive,2017-04-01,19.0,Prophet_Product
Automotive_Item_012,Automotive,2017-05-01,24.0,Prophet_Product
Automotive_Item_012,Automotive,2017-06-01,25.0,Prophet_Product
Automotive_Item_012,Automotive,2017-07-01,20.0,Prophet_Product
Automotive_Item_012,Automotive,2017-08-01,27.0,Prophet_Product
Automotive_Item_012,Automotive,2017-09-01,15.0,Prophet_Product
Automotive_Item_012,Automotive,2017-10-01,25.0,Prophet_Product
Automotive_Item_012,Automotive,2017-11-01,20.0,Prophet_Product
Automotive_Item_012,Automotive,2017-12-01,7.0,Prophet_Product
Automotive_Item_013,Automotive,2017-01-01,0.0,Prophet_Product
Automotive_Item_013,Automotive,2017-02-01,0.0,Prophet_Product
Automotive_Item_013,Automotive,2017-03-01,22.0,Prophet_Product
Automotive_Item_013,Automotive,2017-04-01,50.0,Prophet_Product
Automotive_Item_013,Automotive,2017-05-01,23.0,Prophet_Product
Automotive_Item_013,Automotive,2017-06-01,0.0,Prophet_Product
Automotive_Item_013,Automotive,2017-07-01,3.0,Prophet_Product
Automotive_Item_013,Automotive,2017-08-01,0.0,Prophet_Product
Automotive_Item_013,Automotive,2017-09-01,42.0,Prophet_Product
Automotive_Item_013,Automotive,2017-10-01,22.0,Prophet_Product
Automotive_Item_013,Automotive,2017-11-01,0.0,Prophet_Product
Automotive_Item_013,Automotive,2017-12-01,0.0,Prophet_Product
Automotive_Item_014,Automotive,2017-01-01,0.0,Prophet_Product
Automotive_Item_014,Automotive,2017-02-01,0.0,Prophet_Product
Automotive_Item_014,Automotive,2017-03-01,49.0,Prophet_Product
Automotive_Item_014,Automotive,2017-04-01,20.0,Prophet_Product
Automotive_Item_014,Automotive,2017-05-01,70.0,Prophet_Product
Automotive_Item_014,Automotive,2017-06-01,0.0,Prophet_Product
