Level,Category_Name,Product_Name,Forecast_Month,Forecast_Demand
Overall,ALL,ALL,2017-02-01,0.0
Overall,ALL,ALL,2017-03-01,9556145.0
Overall,ALL,ALL,2017-04-01,0.0
Overall,ALL,ALL,2017-05-01,0.0
Overall,ALL,ALL,2017-06-01,0.0
Overall,ALL,ALL,2017-07-01,2207309.0
Overall,ALL,ALL,2017-08-01,0.0
Overall,ALL,ALL,2017-09-01,0.0
Overall,ALL,ALL,2017-10-01,0.0
Overall,ALL,ALL,2017-11-01,5911162.0
Overall,ALL,ALL,2017-12-01,0.0
Overall,ALL,ALL,2018-01-01,0.0
