date,product_category,units_sold,day_of_week,week_of_year,month,year,is_weekend,is_holiday,holiday_name,is_festival,festival_name
2016-11-20,health_beauty,0.0,6,46,11,2016,1,0,No_Holiday,0,None
2016-11-21,health_beauty,0.0,0,47,11,2016,0,0,No_Holiday,0,None
2016-11-22,health_beauty,0.0,1,47,11,2016,0,0,No_Holiday,0,None
2016-11-23,health_beauty,0.0,2,47,11,2016,0,0,No_Holiday,0,None
2016-11-24,health_beauty,0.0,3,47,11,2016,0,0,No_Holiday,0,None
2016-11-25,health_beauty,0.0,4,47,11,2016,0,0,No_Holiday,0,None
2016-11-26,health_beauty,0.0,5,47,11,2016,1,0,No_Holiday,0,None
2016-11-27,health_beauty,0.0,6,47,11,2016,1,0,No_Holiday,0,None
2016-11-28,health_beauty,0.0,0,48,11,2016,0,0,No_Holiday,0,None
2016-11-29,health_beauty,0.0,1,48,11,2016,0,0,No_Holiday,0,None
2016-11-30,health_beauty,0.0,2,48,11,2016,0,0,No_Holiday,0,None
2016-12-01,health_beauty,0.0,3,48,12,2016,0,0,No_Holiday,0,None
2016-12-02,health_beauty,0.0,4,48,12,2016,0,0,No_Holiday,0,None
2016-12-03,health_beauty,0.0,5,48,12,2016,1,0,No_Holiday,0,None
2016-12-04,health_beauty,0.0,6,48,12,2016,1,0,No_Holiday,0,None
2016-12-05,health_beauty,0.0,0,49,12,2016,0,0,No_Holiday,0,None
2016-12-06,health_beauty,0.0,1,49,12,2016,0,0,No_Holiday,0,None
2016-12-07,health_beauty,0.0,2,49,12,2016,0,0,No_Holiday,0,None
2016-12-08,health_beauty,0.0,3,49,12,2016,0,0,No_Holiday,0,None
2016-12-09,health_beauty,0.0,4,49,12,2016,0,0,No_Holiday,0,None
2016-12-10,health_beauty,0.0,5,49,12,2016,1,0,No_Holiday,0,None
2016-12-11,health_beauty,0.0,6,49,12,2016,1,0,No_Holiday,0,None
2016-12-12,health_beauty,0.0,0,50,12,2016,0,0,No_Holiday,0,None
2016-12-13,health_beauty,0.0,1,50,12,2016,0,0,No_Holiday,0,None
2016-12-14,health_beauty,0.0,2,50,12,2016,0,0,No_Holiday,0,None
2016-12-15,health_beauty,0.0,3,50,12,2016,0,0,No_Holiday,0,None
2016-12-16,health_beauty,0.0,4,50,12,2016,0,0,No_Holiday,0,None
2016-12-17,health_beauty,0.0,5,50,12,2016,1,0,No_Holiday,0,None
2016-12-18,health_beauty,0.0,6,50,12,2016,1,0,No_Holiday,0,None
2016-12-19,health_beauty,0.0,0,51,12,2016,0,0,No_Holiday,0,None
2016-12-20,health_beauty,0.0,1,51,12,2016,0,0,No_Holiday,0,None
2016-12-21,health_beauty,0.0,2,51,12,2016,0,0,No_Holiday,0,None
2016-12-22,health_beauty,0.0,3,51,12,2016,0,0,No_Holiday,0,None
2016-12-23,health_beauty,0.0,4,51,12,2016,0,0,No_Holiday,0,None
2016-12-24,health_beauty,0.0,5,51,12,2016,1,0,No_Holiday,0,None
2016-12-25,health_beauty,0.0,6,51,12,2016,1,0,No_Holiday,0,None
2016-12-26,health_beauty,0.0,0,52,12,2016,0,0,No_Holiday,0,None
2016-12-27,health_beauty,0.0,1,52,12,2016,0,0,No_Holiday,0,None
2016-12-28,health_beauty,0.0,2,52,12,2016,0,0,No_Holiday,0,None
2016-12-29,health_beauty,0.0,3,52,12,2016,0,0,No_Holiday,0,None
