Level,Category_Name,Product_Name,Forecast_Month,Forecast_Demand
Category,Electronics,ALL,2017-07-01,3739.0
Category,Electronics,ALL,2017-08-01,3695.0
Category,Electronics,ALL,2017-09-01,4072.0
Category,Electronics,ALL,2017-10-01,4236.0
Category,Electronics,ALL,2017-11-01,4356.0
Category,Electronics,ALL,2017-12-01,4767.0
Category,Fitness,ALL,2017-02-01,0.0
Category,Fitness,ALL,2017-03-01,18091.0
Category,Fitness,ALL,2017-04-01,25745.0
Category,Fitness,ALL,2017-05-01,0.0
Category,Fitness,ALL,2017-06-01,24845.0
Category,Fitness,ALL,2017-07-01,0.0
Category,Fitness,ALL,2017-08-01,9523.0
Category,Fitness,ALL,2017-09-01,17884.0
Category,Fitness,ALL,2017-10-01,3193.0
Category,Fitness,ALL,2017-11-01,58862.0
Category,Fitness,ALL,2017-12-01,0.0
Category,Fitness,ALL,2018-01-01,0.0
Category,Food,ALL,2017-02-01,51158.0
Category,Food,ALL,2017-03-01,23963.0
Category,Food,ALL,2017-04-01,38564.0
Category,Food,ALL,2017-05-01,19822.0
Category,Food,ALL,2017-06-01,36105.0
Category,Food,ALL,2017-07-01,26397.0
Category,Food,ALL,2017-08-01,25683.0
Category,Food,ALL,2017-09-01,27775.0
Category,Food,ALL,2017-10-01,27008.0
Category,Food,ALL,2017-11-01,30193.0
Category,Food,ALL,2017-12-01,38228.0
Category,Food,ALL,2018-01-01,705.0
Category,Footwear,ALL,2017-01-01,91.0
Category,Footwear,ALL,2017-02-01,230.0
Category,Footwear,ALL,2017-03-01,237.0
Category,Footwear,ALL,2017-04-01,262.0
Category,Footwear,ALL,2017-05-01,582.0
Category,Footwear,ALL,2017-06-01,550.0
Category,Footwear,ALL,2017-07-01,151.0
Category,Footwear,ALL,2017-08-01,250.0
Category,Footwear,ALL,2017-09-01,215.0
Category,Footwear,ALL,2017-10-01,204.0
Category,Footwear,ALL,2017-11-01,675.0
Category,Footwear,ALL,2017-12-01,114.0
Category,Furniture,ALL,2017-02-01,2168516.0
Category,Furniture,ALL,2017-03-01,3471126.0
Category,Furniture,ALL,2017-04-01,3075350.0
Category,Furniture,ALL,2017-05-01,990627.0
Category,Furniture,ALL,2017-06-01,2053805.0
Category,Furniture,ALL,2017-07-01,1691550.0
Category,Furniture,ALL,2017-08-01,1710276.0
Category,Furniture,ALL,2017-09-01,2402001.0
Category,Furniture,ALL,2017-10-01,1758591.0
Category,Furniture,ALL,2017-11-01,1328113.0
Category,Furniture,ALL,2017-12-01,1771754.0
Category,Furniture,ALL,2018-01-01,662486.0
Category,Gardening,ALL,2017-01-01,519557.0
Category,Gardening,ALL,2017-02-01,647676.0
Category,Gardening,ALL,2017-03-01,706910.0
Category,Gardening,ALL,2017-04-01,536891.0
Category,Gardening,ALL,2017-05-01,524290.0
Category,Gardening,ALL,2017-06-01,556485.0
